Temperature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Phosphorous,Potassium,Fertilizer Name
32,64,47,Sandy,Soybean,13,58,28,Urea
24,74,63,Black,Pulses,42,14,43,DAP
38,77,68,Red,Ground Nuts,39,19,43,DAP
32,68,64,Loamy,Barley,44,3,2,NPK 10-26-26
29,53,32,Clayey,Sugarcane,22,30,26,NPK 10-26-26
24,35,73,Loamy,Sugarcane,6,3,34,NPK 10-26-26
25,51,21,Sandy,Pulses,37,11,38,DAP
29,49,54,Loamy,Pulses,28,33,37,NPK 10-26-26
28,89,28,Red,Tobacco,26,51,3,MOP
38,82,77,Clayey,Rice,48,9,32,DAP
40,55,58,Clayey,Cotton,58,23,40,NPK 17-17-17
36,46,60,Loamy,Tobacco,10,36,31,Urea
28,42,69,Loamy,Maize,41,21,0,MOP
32,52,71,Sandy,Pulses,23,56,53,NPK 14-35-14
25,79,29,Loamy,Wheat,10,8,45,NPK 10-26-26
30,65,53,Sandy,Pulses,47,45,4,MOP
40,86,18,Loamy,Sugarcane,18,10,55,NPK 10-26-26
33,73,69,Clayey,Wheat,56,30,21,NPK 10-26-26
22,65,41,Red,Pulses,10,1,37,NPK 10-26-26
30,48,18,Clayey,Pulses,60,50,30,NPK 10-26-26
36,39,56,Red,Cotton,38,28,54,NPK 10-26-26
32,79,56,Black,Millets,13,57,57,Urea
18,77,53,Clayey,Tobacco,41,50,22,NPK 14-35-14
37,46,61,Loamy,Wheat,55,21,58,NPK 17-17-17
32,43,66,Red,Barley,54,38,17,MOP
29,64,67,Loamy,Soybean,36,43,54,NPK 10-26-26
38,48,20,Clayey,Millets,3,44,8,NPK 14-35-14
25,44,75,Loamy,Millets,20,29,35,NPK 10-26-26
33,72,49,Clayey,Pulses,47,32,52,NPK 17-17-17
19,74,43,Clayey,Cotton,42,19,20,DAP
36,64,44,Red,Pulses,39,45,12,MOP
20,38,59,Clayey,Barley,29,16,40,DAP
34,43,33,Sandy,Maize,9,54,54,Urea
35,75,52,Black,Ground Nuts,0,15,46,NPK 10-26-26
26,63,28,Black,Sugarcane,33,43,53,NPK 10-26-26
40,44,37,Loamy,Cotton,58,18,32,DAP
18,35,74,Sandy,Millets,2,26,24,Urea
33,40,31,Sandy,Pulses,57,9,13,NPK 10-26-26
19,44,57,Black,Cotton,46,22,4,MOP
31,57,77,Black,Soybean,23,4,19,NPK 10-26-26
25,62,29,Loamy,Ground Nuts,42,29,60,NPK 17-17-17
27,66,28,Black,Ground Nuts,8,19,37,NPK 10-26-26
18,68,78,Loamy,Pulses,43,12,12,NPK 10-26-26
32,82,73,Clayey,Sugarcane,45,25,48,NPK 17-17-17
35,55,40,Black,Barley,41,53,48,NPK 14-35-14
24,65,33,Clayey,Maize,38,7,38,DAP
38,38,80,Sandy,Sugarcane,56,34,30,NPK 10-26-26
36,72,60,Sandy,Sugarcane,47,20,31,NPK 10-26-26
29,37,32,Loamy,Sugarcane,30,56,35,NPK 14-35-14
40,61,57,Loamy,Barley,51,45,9,MOP
36,88,71,Black,Sugarcane,32,7,60,DAP
22,72,77,Red,Millets,59,60,29,NPK 14-35-14
25,59,70,Sandy,Pulses,54,58,52,NPK 14-35-14
31,43,64,Loamy,Cotton,26,0,42,DAP
22,88,34,Black,Soybean,26,3,56,DAP
39,43,74,Loamy,Barley,6,51,58,Urea
33,53,62,Black,Maize,53,44,50,NPK 17-17-17
20,74,56,Loamy,Wheat,45,20,59,NPK 17-17-17
28,40,22,Black,Rice,16,45,36,Urea
20,49,72,Black,Maize,59,56,46,NPK 17-17-17
27,56,62,Clayey,Maize,29,17,42,DAP
39,40,65,Sandy,Pulses,9,27,3,NPK 10-26-26
36,72,15,Loamy,Maize,56,2,37,DAP
29,60,64,Black,Tobacco,29,12,32,DAP
25,47,38,Loamy,Tobacco,42,10,1,NPK 10-26-26
37,79,80,Clayey,Maize,24,35,16,MOP
29,77,51,Black,Cotton,13,58,8,NPK 14-35-14
28,67,51,Clayey,Barley,0,4,2,NPK 20-20-20
24,41,26,Sandy,Tobacco,25,55,53,NPK 14-35-14
34,88,15,Sandy,Rice,3,55,25,Urea
29,75,20,Loamy,Tobacco,1,51,43,Urea
31,53,48,Red,Barley,28,28,11,MOP
18,60,18,Red,Ground Nuts,57,41,11,MOP
37,43,65,Loamy,Tobacco,15,29,3,NPK 10-26-26
29,60,50,Sandy,Maize,14,4,26,NPK 10-26-26
21,72,76,Black,Millets,43,2,39,DAP
35,62,78,Sandy,Tobacco,0,43,11,NPK 14-35-14
35,41,76,Sandy,Maize,52,26,26,NPK 10-26-26
26,64,42,Sandy,Tobacco,36,27,17,MOP
24,37,62,Sandy,Ground Nuts,46,30,0,MOP
30,84,45,Black,Sugarcane,49,25,36,NPK 10-26-26
24,87,58,Red,Tobacco,40,53,21,NPK 14-35-14
24,67,26,Red,Barley,48,32,15,MOP
23,79,77,Sandy,Rice,13,54,51,Urea
28,87,28,Red,Cotton,11,7,51,NPK 10-26-26
31,44,29,Black,Soybean,10,5,33,NPK 10-26-26
28,36,36,Loamy,Barley,10,25,39,Urea
18,54,15,Loamy,Cotton,6,45,40,Urea
30,78,30,Clayey,Ground Nuts,30,12,26,DAP
21,77,24,Black,Ground Nuts,57,5,55,DAP
40,75,77,Sandy,Tobacco,51,17,60,DAP
39,46,15,Sandy,Tobacco,1,21,38,Urea
19,67,19,Sandy,Rice,11,20,54,Urea
29,39,38,Loamy,Sugarcane,58,14,10,NPK 10-26-26
35,44,79,Red,Tobacco,56,0,14,NPK 10-26-26
28,45,16,Red,Millets,46,27,59,NPK 17-17-17
27,76,24,Clayey,Cotton,60,22,60,NPK 17-17-17
21,55,63,Black,Maize,28,10,26,DAP
37,89,17,Clayey,Barley,51,19,23,DAP
38,72,74,Black,Maize,13,46,1,NPK 14-35-14
20,62,37,Clayey,Maize,42,44,43,NPK 14-35-14
21,70,61,Loamy,Rice,56,54,44,NPK 17-17-17
39,52,70,Black,Cotton,43,11,12,NPK 10-26-26
28,59,64,Sandy,Rice,12,12,35,NPK 10-26-26
20,66,46,Loamy,Maize,57,29,39,NPK 10-26-26
28,68,53,Loamy,Maize,50,50,38,NPK 14-35-14
37,36,30,Clayey,Cotton,28,21,56,NPK 10-26-26
29,84,80,Sandy,Ground Nuts,50,14,21,DAP
32,61,57,Loamy,Barley,44,36,0,MOP
18,82,43,Loamy,Barley,19,18,10,NPK 20-20-20
20,41,73,Clayey,Soybean,23,28,12,MOP
35,69,23,Loamy,Millets,2,56,39,Urea
32,36,27,Clayey,Soybean,49,60,60,NPK 14-35-14
31,49,23,Black,Cotton,53,45,56,NPK 17-17-17
28,41,57,Clayey,Wheat,4,43,27,Urea
24,57,31,Red,Tobacco,27,22,24,NPK 10-26-26
21,80,31,Black,Sugarcane,35,35,6,MOP
31,89,46,Black,Pulses,47,56,14,MOP
23,65,62,Loamy,Tobacco,33,24,51,NPK 10-26-26
36,37,30,Red,Millets,21,45,33,NPK 14-35-14
38,71,34,Sandy,Maize,47,54,59,NPK 17-17-17
28,54,31,Loamy,Soybean,49,60,44,NPK 14-35-14
27,77,69,Clayey,Sugarcane,34,5,54,DAP
37,60,22,Clayey,Maize,24,16,50,DAP
33,57,60,Black,Soybean,32,38,58,NPK 10-26-26
23,49,23,Black,Tobacco,41,24,36,NPK 10-26-26
30,49,24,Red,Barley,1,21,38,Urea
20,74,68,Black,Pulses,51,34,34,NPK 10-26-26
27,62,21,Clayey,Ground Nuts,31,17,15,NPK 10-26-26
18,85,73,Clayey,Pulses,36,11,57,DAP
32,77,65,Clayey,Wheat,41,41,2,MOP
38,56,15,Sandy,Rice,48,32,23,NPK 10-26-26
19,64,59,Sandy,Ground Nuts,51,6,10,NPK 10-26-26
35,60,71,Clayey,Rice,9,47,19,NPK 14-35-14
38,77,51,Clayey,Cotton,21,17,54,DAP
26,78,17,Loamy,Soybean,12,41,33,Urea
35,44,44,Red,Soybean,35,49,37,NPK 14-35-14
31,60,58,Sandy,Millets,5,21,28,Urea
38,36,22,Black,Ground Nuts,31,22,50,NPK 10-26-26
37,68,39,Red,Cotton,16,44,16,NPK 14-35-14
20,38,25,Red,Pulses,1,58,55,Urea
28,90,17,Black,Maize,6,55,4,NPK 14-35-14
39,81,24,Clayey,Barley,29,20,51,NPK 10-26-26
30,40,16,Black,Pulses,55,45,32,NPK 10-26-26
39,55,72,Loamy,Millets,7,1,18,NPK 20-20-20
28,65,49,Loamy,Millets,36,51,60,NPK 10-26-26
34,52,33,Loamy,Tobacco,37,21,1,MOP
30,52,37,Loamy,Millets,60,3,58,DAP
19,55,42,Loamy,Tobacco,42,0,31,DAP
39,63,51,Clayey,Tobacco,38,39,7,MOP
38,89,20,Loamy,Tobacco,5,52,54,Urea
20,70,49,Clayey,Barley,57,57,29,NPK 14-35-14
30,39,50,Loamy,Cotton,14,4,5,NPK 20-20-20
33,46,19,Clayey,Sugarcane,9,45,20,Urea
30,58,25,Clayey,Ground Nuts,46,23,41,NPK 17-17-17
25,42,45,Sandy,Barley,45,45,37,NPK 14-35-14
24,74,42,Black,Rice,58,3,26,DAP
36,48,26,Red,Soybean,40,34,4,MOP
19,81,68,Red,Cotton,47,10,39,DAP
38,35,67,Clayey,Cotton,21,38,55,NPK 10-26-26
32,86,59,Black,Ground Nuts,29,0,40,DAP
21,76,20,Clayey,Pulses,58,4,29,DAP
35,58,47,Clayey,Soybean,29,14,34,DAP
19,45,59,Clayey,Tobacco,56,25,24,NPK 10-26-26
37,72,56,Clayey,Wheat,32,41,59,NPK 10-26-26
27,54,58,Clayey,Maize,45,37,0,MOP
28,81,73,Red,Rice,28,21,13,MOP
39,44,63,Loamy,Barley,38,52,35,NPK 14-35-14
32,60,37,Red,Sugarcane,52,42,38,NPK 10-26-26
23,69,33,Black,Ground Nuts,39,19,55,DAP
25,75,64,Sandy,Cotton,30,3,56,DAP
40,47,37,Sandy,Soybean,26,40,4,MOP
33,78,19,Sandy,Barley,2,0,55,NPK 10-26-26
36,49,73,Loamy,Pulses,27,43,23,NPK 14-35-14
40,35,56,Black,Pulses,3,12,21,NPK 10-26-26
28,52,36,Loamy,Sugarcane,54,2,50,DAP
30,37,41,Black,Barley,32,27,54,NPK 10-26-26
18,79,27,Loamy,Pulses,32,33,46,NPK 10-26-26
28,71,15,Red,Barley,16,25,24,Urea
39,36,63,Loamy,Millets,17,7,15,NPK 20-20-20
25,79,24,Black,Pulses,56,31,36,NPK 10-26-26
34,69,29,Black,Barley,21,56,47,NPK 14-35-14
27,65,39,Clayey,Soybean,0,58,5,NPK 14-35-14
37,86,33,Red,Tobacco,58,39,11,MOP
26,43,36,Red,Rice,51,55,48,NPK 14-35-14
26,80,22,Black,Maize,42,10,38,DAP
32,64,73,Clayey,Cotton,0,11,15,NPK 20-20-20
38,39,19,Clayey,Millets,47,8,6,NPK 10-26-26
30,41,79,Sandy,Cotton,6,13,49,NPK 10-26-26
35,53,69,Clayey,Tobacco,12,11,32,NPK 10-26-26
34,38,34,Black,Pulses,46,24,56,NPK 17-17-17
21,55,75,Red,Cotton,37,15,20,DAP
38,87,26,Clayey,Soybean,22,44,35,NPK 14-35-14
20,55,57,Clayey,Soybean,49,22,6,MOP
31,52,70,Red,Barley,5,60,45,Urea
18,70,72,Sandy,Millets,43,0,16,NPK 10-26-26
21,36,68,Red,Rice,25,1,45,DAP
28,59,43,Clayey,Cotton,7,12,57,NPK 10-26-26
26,82,39,Clayey,Barley,34,10,29,DAP
24,80,34,Sandy,Barley,54,21,2,MOP
33,57,70,Loamy,Tobacco,42,13,35,DAP
21,46,20,Sandy,Barley,46,52,33,NPK 14-35-14
27,78,69,Black,Tobacco,21,40,51,NPK 10-26-26
30,61,56,Red,Maize,56,27,47,NPK 17-17-17
33,48,22,Loamy,Pulses,59,58,27,NPK 10-26-26
30,71,77,Red,Rice,18,17,53,NPK 10-26-26
24,50,64,Black,Tobacco,28,48,26,NPK 14-35-14
34,37,77,Sandy,Rice,7,40,16,NPK 10-26-26
19,47,51,Loamy,Pulses,19,24,34,Urea
38,61,51,Sandy,Millets,55,14,31,DAP
35,58,46,Sandy,Pulses,5,18,15,NPK 20-20-20
26,77,32,Clayey,Ground Nuts,24,52,37,NPK 14-35-14
34,60,57,Loamy,Ground Nuts,30,17,54,DAP
32,79,45,Clayey,Tobacco,1,35,56,Urea
20,63,61,Sandy,Soybean,52,10,8,NPK 10-26-26
30,85,25,Clayey,Pulses,11,40,47,Urea
35,43,34,Loamy,Cotton,28,25,2,MOP
39,77,26,Red,Sugarcane,7,29,19,NPK 10-26-26
24,64,18,Sandy,Barley,37,60,30,NPK 14-35-14
33,83,24,Loamy,Soybean,52,2,60,DAP
28,72,45,Red,Pulses,4,52,19,NPK 14-35-14
24,52,53,Red,Millets,11,15,46,NPK 10-26-26
27,69,37,Clayey,Ground Nuts,14,2,37,NPK 10-26-26
26,69,69,Loamy,Wheat,32,1,50,DAP
31,39,66,Clayey,Rice,47,11,26,DAP
37,61,53,Sandy,Pulses,30,18,14,NPK 10-26-26
18,59,46,Black,Cotton,43,9,55,DAP
30,43,65,Clayey,Rice,9,53,40,Urea
39,72,44,Clayey,Pulses,34,37,39,NPK 10-26-26
25,66,32,Loamy,Tobacco,2,59,14,NPK 14-35-14
30,53,50,Clayey,Pulses,39,60,41,NPK 14-35-14
39,48,74,Red,Millets,34,29,12,MOP
24,52,77,Sandy,Pulses,0,3,14,NPK 20-20-20
20,82,29,Sandy,Pulses,43,57,28,NPK 14-35-14
34,68,79,Loamy,Ground Nuts,30,17,52,DAP
30,68,39,Sandy,Wheat,4,28,32,Urea
30,58,66,Sandy,Rice,10,54,25,Urea
24,35,67,Sandy,Tobacco,54,59,46,NPK 14-35-14
40,65,72,Loamy,Sugarcane,23,23,26,NPK 10-26-26
23,42,23,Red,Soybean,6,28,24,Urea
33,53,16,Red,Barley,50,45,58,NPK 17-17-17
33,59,51,Loamy,Sugarcane,55,6,29,DAP
27,78,37,Black,Maize,53,27,14,MOP
36,68,29,Sandy,Maize,19,35,31,Urea
34,41,42,Sandy,Rice,39,49,12,MOP
23,63,42,Clayey,Maize,42,32,23,NPK 10-26-26
21,70,44,Red,Pulses,13,36,8,NPK 10-26-26
22,38,59,Loamy,Wheat,38,32,30,NPK 10-26-26
34,41,66,Black,Sugarcane,24,20,46,NPK 10-26-26
40,40,61,Clayey,Sugarcane,58,41,14,MOP
39,77,46,Sandy,Pulses,50,18,17,NPK 10-26-26
40,39,34,Black,Maize,26,16,26,DAP
28,61,33,Sandy,Millets,30,19,12,NPK 10-26-26
23,39,54,Sandy,Millets,53,30,48,NPK 17-17-17
19,89,26,Red,Wheat,45,39,54,NPK 17-17-17
21,66,77,Sandy,Maize,44,49,47,NPK 14-35-14
25,43,32,Sandy,Ground Nuts,49,11,32,DAP
31,39,70,Red,Pulses,32,11,19,NPK 10-26-26
39,70,37,Sandy,Cotton,6,56,29,Urea
22,61,69,Black,Soybean,43,51,60,NPK 17-17-17
26,41,19,Red,Cotton,59,34,40,NPK 17-17-17
32,37,42,Sandy,Sugarcane,1,23,36,Urea
29,56,70,Red,Sugarcane,24,49,24,NPK 14-35-14
29,86,73,Clayey,Wheat,42,1,10,NPK 10-26-26
39,35,55,Red,Soybean,28,23,42,NPK 10-26-26
26,69,64,Black,Pulses,23,28,37,NPK 10-26-26
19,52,38,Clayey,Sugarcane,23,43,21,NPK 14-35-14
31,70,79,Black,Soybean,20,47,35,NPK 14-35-14
37,54,68,Black,Pulses,55,23,23,NPK 10-26-26
27,76,23,Sandy,Barley,7,46,56,Urea
32,87,22,Red,Sugarcane,28,58,3,MOP
31,41,68,Clayey,Cotton,60,22,22,NPK 10-26-26
38,78,73,Black,Wheat,38,30,16,MOP
28,88,63,Red,Barley,17,1,26,NPK 10-26-26
28,84,72,Red,Tobacco,60,6,54,DAP
23,63,27,Sandy,Tobacco,52,40,60,NPK 17-17-17
23,51,34,Black,Soybean,2,16,0,NPK 20-20-20
38,46,40,Sandy,Soybean,3,12,11,NPK 20-20-20
29,68,79,Red,Maize,4,26,45,Urea
22,80,80,Black,Tobacco,46,7,17,NPK 10-26-26
22,71,52,Loamy,Tobacco,51,56,15,MOP
28,89,78,Clayey,Cotton,30,27,60,NPK 10-26-26
36,35,58,Clayey,Sugarcane,50,57,31,NPK 14-35-14
31,60,68,Loamy,Tobacco,2,6,9,NPK 20-20-20
28,85,24,Black,Millets,9,25,35,Urea
37,81,58,Red,Maize,30,31,24,NPK 10-26-26
34,47,49,Red,Soybean,52,41,9,MOP
26,65,78,Red,Maize,36,55,8,MOP
27,83,31,Sandy,Cotton,6,11,13,NPK 20-20-20
19,70,50,Black,Barley,11,43,39,Urea
36,46,80,Sandy,Wheat,15,1,2,NPK 20-20-20
25,47,70,Clayey,Barley,49,24,23,NPK 10-26-26
38,56,27,Black,Barley,54,3,26,DAP
27,48,69,Black,Sugarcane,52,10,49,DAP
27,56,64,Black,Soybean,46,8,43,DAP
21,39,28,Loamy,Cotton,27,16,29,DAP
37,35,59,Sandy,Ground Nuts,31,27,4,MOP
18,86,18,Sandy,Pulses,8,27,43,Urea
32,52,58,Red,Barley,5,4,4,NPK 20-20-20
18,82,19,Clayey,Sugarcane,4,28,1,NPK 10-26-26
27,81,57,Clayey,Soybean,39,53,38,NPK 14-35-14
28,78,29,Clayey,Tobacco,43,18,13,NPK 10-26-26
18,82,28,Clayey,Maize,18,1,42,NPK 10-26-26
34,63,56,Loamy,Ground Nuts,60,2,27,DAP
18,47,51,Red,Millets,54,21,39,NPK 10-26-26
39,47,32,Sandy,Ground Nuts,39,39,40,NPK 10-26-26
19,71,49,Clayey,Pulses,14,39,53,Urea
29,78,18,Black,Maize,28,58,23,NPK 14-35-14
24,65,60,Loamy,Rice,60,6,30,DAP
36,82,78,Black,Rice,6,15,54,NPK 10-26-26
31,67,72,Loamy,Tobacco,57,3,42,DAP
22,90,26,Loamy,Millets,12,58,26,Urea
19,56,66,Clayey,Ground Nuts,58,9,39,DAP
23,77,65,Loamy,Maize,0,14,54,NPK 10-26-26
20,45,43,Black,Barley,58,17,7,NPK 10-26-26
22,71,31,Red,Pulses,4,34,4,NPK 10-26-26
39,40,69,Loamy,Barley,9,34,43,Urea
40,39,22,Loamy,Wheat,52,21,6,MOP
19,35,31,Red,Cotton,23,49,53,NPK 10-26-26
25,60,65,Clayey,Sugarcane,46,17,37,DAP
40,82,71,Sandy,Sugarcane,4,10,39,NPK 10-26-26
39,80,39,Red,Maize,58,27,32,NPK 10-26-26
26,84,50,Loamy,Millets,21,1,23,DAP
22,68,48,Sandy,Wheat,9,41,54,Urea
22,60,55,Red,Sugarcane,26,57,35,NPK 14-35-14
24,72,47,Loamy,Sugarcane,35,45,53,NPK 10-26-26
37,66,44,Sandy,Cotton,24,23,46,NPK 10-26-26
32,52,35,Red,Pulses,48,8,4,NPK 10-26-26
26,36,64,Loamy,Maize,29,38,10,MOP
39,78,55,Sandy,Tobacco,30,34,30,NPK 10-26-26
21,88,42,Loamy,Wheat,39,42,42,NPK 14-35-14
32,56,31,Black,Maize,38,4,13,NPK 10-26-26
30,61,31,Loamy,Sugarcane,9,27,13,NPK 10-26-26
37,61,29,Sandy,Barley,12,48,15,NPK 14-35-14
20,79,36,Red,Wheat,4,42,37,Urea
28,46,42,Black,Ground Nuts,26,60,13,MOP
26,60,73,Red,Cotton,26,32,23,NPK 10-26-26
40,90,25,Clayey,Cotton,24,46,36,NPK 14-35-14
20,63,51,Black,Barley,5,12,13,NPK 20-20-20
19,66,49,Red,Tobacco,33,30,10,MOP
32,49,48,Loamy,Sugarcane,18,45,33,Urea
25,74,80,Clayey,Soybean,6,13,20,NPK 10-26-26
31,50,30,Red,Sugarcane,53,36,28,NPK 10-26-26
18,58,46,Black,Tobacco,19,51,16,NPK 14-35-14
38,49,25,Loamy,Pulses,18,37,39,Urea
31,78,27,Sandy,Cotton,5,47,35,Urea
35,73,27,Clayey,Millets,10,53,52,Urea
22,56,72,Clayey,Millets,42,28,58,NPK 17-17-17
36,54,59,Clayey,Pulses,59,51,46,NPK 17-17-17
18,57,47,Black,Wheat,38,30,2,MOP
33,63,41,Clayey,Sugarcane,10,27,42,Urea
23,59,56,Loamy,Barley,9,54,56,Urea
38,56,35,Loamy,Soybean,59,19,59,DAP
20,59,39,Black,Millets,34,5,56,DAP
38,70,39,Clayey,Millets,37,29,53,NPK 10-26-26
21,50,59,Loamy,Tobacco,2,45,42,Urea
35,40,56,Sandy,Tobacco,9,7,18,NPK 20-20-20
30,50,21,Loamy,Cotton,42,57,7,MOP
37,79,36,Loamy,Sugarcane,46,7,54,DAP
40,61,30,Black,Maize,57,57,32,NPK 14-35-14
28,55,63,Sandy,Sugarcane,41,56,29,NPK 14-35-14
38,44,41,Sandy,Pulses,46,20,49,NPK 17-17-17
40,65,77,Clayey,Tobacco,56,16,41,DAP
35,47,80,Black,Maize,22,45,40,NPK 14-35-14
19,72,29,Sandy,Rice,8,20,57,Urea
20,54,79,Loamy,Cotton,37,38,52,NPK 10-26-26
29,68,66,Black,Maize,57,10,6,NPK 10-26-26
38,42,69,Red,Rice,1,27,10,NPK 10-26-26
32,45,38,Clayey,Maize,35,33,10,MOP
37,82,57,Black,Rice,16,29,59,Urea
36,47,43,Sandy,Barley,15,45,11,NPK 14-35-14
22,59,42,Black,Millets,30,2,50,DAP
18,87,25,Clayey,Rice,15,23,51,Urea
28,54,26,Loamy,Barley,23,56,56,NPK 14-35-14
19,67,40,Red,Rice,34,5,25,DAP
30,49,75,Clayey,Millets,25,46,48,NPK 10-26-26
24,70,57,Clayey,Barley,35,57,55,NPK 14-35-14
28,67,73,Clayey,Millets,53,5,51,DAP
25,62,38,Black,Wheat,10,39,16,NPK 10-26-26
20,82,60,Black,Maize,18,21,25,Urea
26,37,52,Red,Sugarcane,11,54,38,Urea
40,35,63,Black,Cotton,16,27,8,NPK 10-26-26
29,42,74,Clayey,Tobacco,11,27,36,Urea
27,61,17,Loamy,Millets,53,6,4,NPK 10-26-26
22,72,70,Clayey,Millets,32,42,56,NPK 10-26-26
21,53,35,Red,Rice,32,23,16,MOP
29,43,40,Loamy,Cotton,60,50,39,NPK 10-26-26
30,90,47,Loamy,Wheat,16,45,28,Urea
32,84,74,Sandy,Millets,56,45,59,NPK 17-17-17
36,73,76,Clayey,Soybean,47,14,8,NPK 10-26-26
28,71,44,Loamy,Ground Nuts,55,12,42,DAP
30,62,34,Black,Ground Nuts,10,26,21,Urea
20,40,78,Clayey,Barley,53,60,19,MOP
31,60,80,Red,Maize,24,27,1,MOP
26,79,20,Sandy,Cotton,2,5,6,NPK 20-20-20
26,61,22,Sandy,Pulses,12,58,7,NPK 14-35-14
27,39,37,Black,Sugarcane,56,0,15,NPK 10-26-26
32,67,67,Sandy,Wheat,21,22,39,NPK 10-26-26
23,90,41,Red,Millets,50,0,27,DAP
23,61,65,Black,Wheat,16,36,55,Urea
35,51,54,Loamy,Pulses,40,51,19,MOP
26,41,36,Loamy,Sugarcane,18,43,39,Urea
37,44,34,Black,Sugarcane,18,7,23,NPK 10-26-26
27,79,30,Black,Cotton,0,44,5,NPK 14-35-14
23,43,45,Red,Sugarcane,25,33,8,MOP
21,90,62,Clayey,Soybean,35,30,28,NPK 10-26-26
36,51,35,Clayey,Maize,51,15,60,DAP
36,90,68,Clayey,Millets,27,41,14,MOP
18,43,75,Loamy,Pulses,10,36,16,NPK 10-26-26
35,75,44,Black,Ground Nuts,0,28,33,Urea
38,62,71,Sandy,Pulses,36,60,19,MOP
32,41,36,Black,Sugarcane,11,13,31,NPK 10-26-26
32,82,26,Black,Wheat,20,2,41,DAP
19,39,40,Loamy,Sugarcane,47,35,14,MOP
30,65,74,Red,Barley,34,48,24,NPK 14-35-14
32,66,53,Black,Wheat,58,23,56,NPK 17-17-17
31,73,64,Red,Cotton,34,58,46,NPK 14-35-14
31,78,79,Clayey,Pulses,45,48,55,NPK 17-17-17
34,42,15,Sandy,Wheat,48,6,55,DAP
24,36,21,Sandy,Soybean,59,26,6,MOP
35,88,78,Loamy,Maize,58,7,20,DAP
30,77,56,Black,Tobacco,56,39,14,MOP
33,50,30,Black,Wheat,50,37,12,MOP
34,74,23,Clayey,Pulses,45,50,35,NPK 14-35-14
31,48,70,Loamy,Millets,10,3,31,NPK 10-26-26
33,45,34,Loamy,Wheat,8,50,56,Urea
31,89,33,Clayey,Wheat,22,0,20,DAP
25,52,77,Red,Tobacco,23,14,20,DAP
18,43,52,Sandy,Millets,38,29,31,NPK 10-26-26
40,48,62,Sandy,Rice,52,29,48,NPK 17-17-17
20,38,49,Sandy,Soybean,6,49,5,NPK 14-35-14
21,39,67,Black,Pulses,14,46,46,Urea
29,81,71,Black,Barley,7,5,2,NPK 20-20-20
20,74,24,Red,Sugarcane,19,10,45,NPK 10-26-26
31,40,46,Sandy,Barley,22,30,3,MOP
19,42,47,Black,Wheat,24,36,36,NPK 10-26-26
21,85,34,Loamy,Wheat,2,28,29,Urea
29,75,37,Sandy,Barley,59,27,59,NPK 17-17-17
32,85,34,Clayey,Tobacco,56,2,22,DAP
28,64,47,Red,Tobacco,11,11,17,NPK 20-20-20
21,56,59,Black,Sugarcane,20,6,37,DAP
37,60,29,Red,Tobacco,20,54,15,MOP
34,80,52,Red,Tobacco,20,5,29,DAP
32,35,75,Red,Wheat,54,3,55,DAP
31,86,38,Loamy,Ground Nuts,52,27,9,MOP
31,80,62,Red,Ground Nuts,28,15,39,DAP
24,40,49,Black,Rice,43,20,28,NPK 10-26-26
18,79,31,Clayey,Pulses,48,16,46,DAP
20,75,76,Clayey,Wheat,25,53,41,NPK 14-35-14
27,65,36,Red,Millets,27,53,34,NPK 14-35-14
25,67,59,Loamy,Millets,6,59,33,Urea
40,86,40,Loamy,Rice,33,14,35,DAP
19,52,33,Red,Tobacco,37,51,38,NPK 14-35-14
36,69,67,Red,Barley,15,48,28,Urea
27,88,44,Sandy,Soybean,5,35,26,Urea
34,79,61,Red,Maize,46,39,48,NPK 17-17-17
22,50,67,Red,Pulses,38,55,10,MOP
35,85,78,Sandy,Sugarcane,31,24,44,NPK 10-26-26
39,38,66,Clayey,Soybean,35,49,6,MOP
32,78,25,Clayey,Soybean,51,32,43,NPK 17-17-17
27,71,15,Sandy,Cotton,48,6,0,NPK 10-26-26
36,78,79,Sandy,Cotton,24,56,1,MOP
18,65,37,Red,Pulses,27,2,29,DAP
22,35,25,Black,Ground Nuts,10,42,48,Urea
38,54,28,Clayey,Pulses,5,10,27,NPK 10-26-26
22,55,40,Loamy,Wheat,12,60,47,Urea
24,88,50,Clayey,Soybean,1,4,16,NPK 20-20-20
34,64,24,Red,Ground Nuts,25,19,46,DAP
19,74,23,Red,Sugarcane,46,26,44,NPK 17-17-17
19,62,77,Black,Tobacco,37,33,4,MOP
38,86,77,Red,Ground Nuts,16,50,39,Urea
33,71,32,Clayey,Ground Nuts,12,27,17,NPK 10-26-26
23,81,41,Clayey,Tobacco,12,10,19,NPK 20-20-20
20,59,40,Red,Soybean,16,29,14,NPK 10-26-26
18,59,60,Loamy,Tobacco,34,47,29,NPK 14-35-14
31,60,78,Red,Wheat,1,3,21,NPK 10-26-26
40,52,37,Sandy,Ground Nuts,58,0,59,DAP
19,48,16,Sandy,Tobacco,54,50,36,NPK 10-26-26
31,54,55,Sandy,Wheat,7,58,34,Urea
33,56,17,Loamy,Wheat,10,6,45,NPK 10-26-26
33,68,23,Sandy,Pulses,56,35,40,NPK 17-17-17
22,38,21,Sandy,Ground Nuts,59,0,34,DAP
28,50,50,Clayey,Millets,14,11,40,NPK 10-26-26
40,84,30,Black,Maize,37,49,22,NPK 14-35-14
22,47,33,Loamy,Millets,55,5,3,NPK 10-26-26
